symbol,name,reportDate,percentChanges,meanAbsolutePercentChange
EGHT,8X8 Inc,2024-11-04,"['-25.97%', '20.09%', '-11.61%', '36.24%', '-21.62%', '-3.42%', '27.35%', '21.11%']",20.93%
ACBM,ACBM,2024-11-04,['0.0%'],0.0%
ACRXF,ACRXF,2024-11-04,"['0.0%', '0.0%']",0.0%
ADXS,ADXS,2024-11-04,"['0.0%', '6.43%', '2.15%', '4.27%', '-1.72%', '3.46%', '-6.63%', '-1.6%']",3.28%
AGM-PD,AGM-PD,2024-11-04,['1.34%'],1.34%
AGM-PE,AGM-PE,2024-11-04,['1.69%'],1.69%
AGM-PF,AGM-PF,2024-11-04,['0.65%'],0.65%
AGM-PG,AGM-PG,2024-11-04,['2.01%'],2.01%
AGMJF,AGMJF,2024-11-04,['-3.29%'],3.29%
AHH-PA,AHH-PA,2024-11-04,['1.88%'],1.88%
AKTAF,AKTAF,2024-11-04,['0.7%'],0.7%
AMK,AMK,2024-11-04,"['0.06%', '0.03%', '1.4%', '3.72%', '2.34%', '-8.74%', '13.6%', '13.06%', '0.05%', '-7.01%', '-0.83%', '4.61%']",4.62%
ANG-PA,ANG-PA,2024-11-04,['0.36%'],0.36%
ANG-PB,ANG-PB,2024-11-04,['0.48%'],0.48%
ANIOY,ANIOY,2024-11-04,"['-7.66%', '1.78%']",4.72%
ORKA,ARCA biopharma Inc,2024-11-04,"['1.84%', '5.07%']",3.46%
ARTNB,ARTNB,2024-11-04,['-0.84%'],0.84%
ATIP,ATI Physical Therapy Inc - Class A,2024-11-04,"['-5.75%', '-7.0%', '-4.95%', '3.06%', '-3.54%', '-3.79%', '30.97%', '-40.0%']",12.38%
ATRWF,ATRWF,2024-11-04,['-2.43%'],2.43%
ABCL,AbCellera Biologics Inc,2024-11-04,"['-7.72%', '-4.95%', '-9.42%', '6.09%', '-13.34%', '-9.38%', '-1.12%', '-3.51%']",6.94%
ADUS,Addus HomeCare Corporation,2024-11-04,"['5.77%', '6.84%', '5.46%', '-5.16%', '1.5%', '-2.57%', '2.56%', '6.01%']",4.48%
AOSL,Alpha & Omega Semiconductor Ltd,2024-11-04,"['4.57%', '20.87%', '-10.64%', '-15.37%', '7.79%', '3.17%', '-12.76%', '4.31%']",9.94%
BCC,Boise Cascade Company,2024-11-04,"['4.37%', '-6.24%', '-7.92%', '-0.22%', '3.17%', '3.71%', '6.18%', '0.19%']",4.0%
BFAM,Bright Horizons Family Solutions Inc,2024-11-04,"['14.12%', '6.67%', '10.37%', '9.08%', '-0.45%', '10.46%', '10.72%', '1.04%']",7.86%
BCOV,Brightcove Inc,2024-11-04,"['0.94%', '2.12%', '-15.45%', '-8.1%', '-1.18%', '-12.78%', '-16.4%', '-6.77%']",7.97%
CGJTF,CGJTF,2024-11-04,['0.0%'],0.0%
CHMI-PA,CHMI-PA,2024-11-04,['-1.56%'],1.56%
CHMI-PB,CHMI-PB,2024-11-04,['-0.04%'],0.04%
CLOQ,CLOQ,2024-11-04,['-4.69%'],4.69%
CMVLF,CMVLF,2024-11-04,['0.0%'],0.0%
CRSP,CRISPR Therapeutics AG,2024-11-04,"['-0.66%', '0.49%', '4.67%', '13.57%', '9.74%', '13.33%']",7.08%
CBT,Cabot Corp,2024-11-04,"['16.38%', '5.35%', '7.86%', '8.31%', '-0.41%', '-3.47%', '1.86%', '-8.48%']",6.51%
CDNA,Caredx Inc,2024-11-04,"['17.96%', '34.09%', '9.47%', '13.9%', '-11.23%', '-2.68%', '14.34%', '-14.47%']",14.77%
CSTL,Castle Biosciences Inc,2024-11-04,"['13.96%', '6.52%', '-25.95%', '7.99%', '11.79%', '-3.93%', '-9.21%', '-2.02%']",10.17%
CTRM,Castor Maritime Inc,2024-11-04,['8.86%'],8.86%
CE,Celanese Corp - Series A,2024-11-04,"['-4.36%', '-1.13%', '0.68%', '-2.88%', '0.48%', '-1.54%', '2.56%', '-2.7%']",2.04%
CLLS,Cellectis,2024-11-04,"['-0.48%', '-2.16%', '0.0%', '-13.41%', '-5.13%', '1.06%', '-3.94%', '-4.1%', '10.9%', '3.93%']",4.51%
CENX,Century Aluminum Company,2024-11-04,"['-2.47%', '-7.72%', '-3.3%', '2.95%', '-8.57%', '-7.8%', '2.7%', '8.24%']",5.47%
CC,Chemours Company,2024-11-04,"['-11.88%', '-2.8%', '-9.07%', '-2.72%', '-3.64%', '4.01%', '2.54%', '0.59%']",4.66%
ECSNF,ECSNF,2024-11-04,['0.0%'],0.0%
ENDI,ENDI,2024-11-04,['0.0%'],0.0%
EQH-PA,EQH-PA,2024-11-04,['-0.59%'],0.59%
EQH-PC,EQH-PC,2024-11-04,['-2.27%'],2.27%
ESAIY,ESAIY,2024-11-04,['-2.61%'],2.61%
ELME,Elme Communities,2024-11-04,"['1.44%', '0.92%', '-3.09%', '-3.73%', '-4.74%', '-3.15%', '1.49%', '2.59%']",2.64%
ENTG,Entegris Inc,2024-11-04,"['-3.39%', '-7.23%', '5.71%', '-3.5%', '-0.78%', '19.61%', '0.24%', '-20.97%']",7.68%
EQH,Equitable Holdings Inc,2024-11-04,"['0.97%', '4.61%', '2.93%', '-5.12%', '0.39%', '-6.32%', '-2.87%', '-7.31%']",3.81%
EVEX,Eve Holding Inc,2024-11-04,"['1.11%', '1.27%', '5.03%', '-1.74%', '-0.71%', '0.77%', '5.75%', '0.94%']",2.17%
EVER,EverQuote Inc - Class A,2024-11-04,"['11.85%', '18.4%', '2.86%', '16.94%', '-15.22%', '2.41%', '-22.13%', '4.43%']",11.78%
FBRT-PE,FBRT-PE,2024-11-04,['0.56%'],0.56%
FPLSF,FPLSF,2024-11-04,['8.48%'],8.48%
FZMD,FZMD,2024-11-04,['0.0%'],0.0%
FN,Fabrinet,2024-11-04,"['15.74%', '10.85%', '-18.41%', '6.14%', '31.58%', '-0.9%', '-7.68%', '9.45%']",12.59%
AGM-A,Federal Agricultural Mortgage Corp - Class A,2024-11-04,['-5.45%'],5.45%
GLRE,Greenlight Capital Re Ltd - Class A,2024-11-04,"['-2.41%', '2.12%', '3.34%', '-1.93%', '6.27%', '-5.45%', '3.62%', '-9.09%']",4.28%
GYRE,Gyre Therapeutics Inc,2024-11-04,"['-0.64%', '-2.53%', '-2.69%', '-1.85%']",1.93%
HCKT,Hackett Group Inc (The),2024-11-04,"['1.98%', '-2.88%', '9.29%', '-8.27%', '2.15%', '-1.77%', '-12.85%', '5.96%']",5.64%
HSII,Heidrick & Struggles International Inc,2024-11-04,"['15.18%', '-2.94%', '18.96%', '7.38%', '3.12%', '-8.26%', '14.74%', '-4.65%']",9.4%
HTZ,Hertz Global Holdings Inc (New),2024-11-04,"['-7.6%', '-19.31%', '8.89%', '-10.67%', '-11.65%', '6.14%', '7.47%', '-0.64%']",9.05%
HPK,HighPeak Energy Inc,2024-11-04,"['-1.85%', '9.55%', '-9.67%', '-5.14%', '4.8%', '-8.01%', '-4.14%', '0.74%']",5.49%
