ticker,earningsPriceChanges,averagePriceChange
SOUN,"[-0.065, 0.072, -0.186, 0.035, 0.035, -0.035, -0.219, -0.042, 0.025, 0.02]",7.34%
MARA,"[-0.052, -0.127, -0.165, 0.08, -0.013, -0.146, 0.071, -0.035, -0.022, -0.105, 0.031]",7.7%
CAVA,"[0.196, 0.07, 0.122, -0.077, 0.012]",9.54%
SPOT,"[0.12, 0.114, 0.039, 0.104, -0.143, 0.051, 0.127, -0.13, 0.122, -0.124, -0.168]",11.291%
OXY,"[0.043, -0.021, 0.049, 0.016, 0.012, -0.036, -0.007, -0.092, -0.063, 0.012, -0.005]",3.236%
BSEM,"[0.084, 0.046, -0.146, 0.049, -0.137, -0.005, -0.309, -0.033, 0, -0.056]",8.65%
RKLB,"[0.126, -0.022, -0.025, -0.018, -0.032, 0.046, -0.022, 0.12, 0.212, 0.046, -0.046, 0.083]",6.65%
RKT,"[0.123, 0.045, 0.053, 0.065, 0.105, -0.029, 0.022, -0.031, -0.033, -0.052, 0.058]",5.6%
WULF,"[-0.089, 0.355, -0.05, -0.012, -0.013, 0.19, 0.069, -0.181, 0.069, -0.076, -0.051, -0.004]",9.658%
CART,"[0.028, -0.037, -0.019, -0.101]",4.625%
RUM,"[0.054, 0, -0.049, 0.053, -0.141, -0.037, 0.071, -0.021]",5.325%
INSG,"[0.236, 0.31, -0.125, -0.298, 0.179, 0.528, -0.047, -0.228, 0.085, -0.247, 0.006]",20.809%
BTMD,"[-0.189, 0.052, 0.149, -0.238, -0.134, -0.108, 0.131, 0.013, 0.03, 0]",10.44%
CAE,"[0.048, -0.096, -0.039, 0.08, -0.07, 0.05, 0.201, -0.167, 0.077, -0.035]",8.63%
CHGG,"[-0.222, -0.279, -0.061, -0.151, 0.043, -0.484, -0.171, 0.22, 0.091, -0.303, 0.16]",19.864%
CNNE,"[-0.041, 0.016, 0.106, -0.03, -0.038, -0.021, 0.026, 0.116, -0.04, -0.066, -0.049]",4.991%
CRVS,"[0.097, -0.12, -0.056, 0.013, 0.079, 0, 0.108, -0.023, -0.094, -0.045, -0.05]",6.227%
DAVE,"[0.021, 0.124, 0.644, 0.029, 0.027, -0.023, -0.038, 0.146, -0.223, 0.17, -0.098]",14.027%
DHT,"[-0.034, 0.004, 0.046, -0.066, -0.006, -0.085, 0.14, 0.061, 0.046, 0.09, 0.08]",5.982%
DOX,"[0.028, -0.049, -0.019, -0.056, -0.041, -0.009, 0.056, -0.001, 0.021, 0.077, 0.013]",3.364%
GRWG,"[-0.086, 0.112, -0.069, -0.113, -0.229, 0.327, -0.063, 0.35, 0.05, -0.227, 0.022]",14.982%
HNST,"[0.136, 0.061, 0.248, 0.233, -0.014, 0.112, -0.333, -0.077, 0.023, 0.082, -0.225]",14.036%
MODG,"[-0.127, -0.067, 0.116, -0.169, -0.071, -0.131, -0.026, 0.079, -0.002, 0.102, -0.095]",8.955%
ORGO,"[-0.027, 0.329, -0.182, 0.112, -0.189, 0.371, 0.193, -0.149, -0.2, 0.063, 0.214, -0.034]",17.192%
PAY,"[0.139, -0.135, 0.202, 0.07, 0.312, 0.127, 0.096, 0.32, -0.284, -0.148, -0.212, 0.089]",17.783%
SDRL,"[-0.055, -0.012, -0.002, 0.056, 0.024, 0.01, -0.004, 0.005, 0]",1.867%
STNE,"[0.027, 0.053, -0.081, -0.069, 0.129, -0.076, -0.061, 0.012, 0.168, -0.223, 0.132, 0.42, -0.346]",13.823%
SURG,"[-0.268, 0.133, -0.282, -0.035, -0.05, 0.156, -0.013, 0.008, -0.268, -0.021, -0.022, -0.017]",10.608%
SWKS,"[-0.035, -0.153, 0.001, 0.017, -0.013, -0.051, 0.125, 0.068, -0.008, -0.05, -0.025, -0.043]",4.908%
VYGR,"[0, -0.072, 0.051, 0.034, 0.295, -0.078, 0.096, -0.072, -0.185, 0.333, 0.049]",11.5%
WPRT,"[-0.056, -0.058, 0.015, -0.141, -0.041, -0.242, -0.078, -0.226, -0.076, 0.08, -0.203, 0.284]",12.5%
ZI,"[-0.242, 0.144, -0.164, -0.27, 0.013, 0.053, -0.292, 0.112, 0.057, -0.044, 0.02, 0.031]",12.017%
AHR,"[0.063, -0.007, -0.018]",2.933%
AIRG,"[-0.014, -0.002, 0.082, -0.458, -0.062, -0.014, -0.226, 0.055, 0.04, 0.064, 0.178]",10.864%
AMBC,"[-0.109, 0.193, 0.024, 0.074, -0.059, -0.023, 0.031, -0.016, 0.178, 0.081, -0.077]",7.864%
AMPS,"[-0.105, -0.024, -0.231, -0.116, -0.066, 0.089, 0.052, -0.166, 0.135, 0.089, -0.112]",10.773%
BLTE,"[-0.019, 0.008, -0.125, -0.036, 0.023, 0.04, -0.046, 0.053]",4.375%
BODI,"[-0.099, -0.068, 0.141, -0.061, -0.176, -0.021, -0.175, 0.064, -0.186, -0.276, 0.119, -0.206]",13.267%
DNA,"[-0.054, -0.173, -0.151, -0.154, -0.129, -0.015, 0, -0.004, 0.072, 0.128, 0.227]",10.064%
EPM,"[0.163, 0.027, 0.038, -0.056, -0.209, 0.093, 0.019, -0.112, 0.193, -0.006, 0.048]",8.764%
EVCM,"[-0.053, 0.041, -0.096, -0.153, 0.045, 0.038, 0.2, -0.163, -0.009, -0.072, 0.031]",8.191%
FIHL,"[-0.003, -0.043, 0.131, -0.096, 0.035]",6.16%
GRDN,[],0.0%
GUTS,"[0.054, 0.085, 0.007]",4.867%
HNRG,"[-0.219, 0.073, -0.066, -0.122, 0.013, 0.138, 0.057, 0.136, -0.098, -0.063, -0.122]",10.064%
HPP,"[-0.123, -0.044, -0.166, 0.077, 0.02, -0.077, -0.022, -0.019, 0.021, -0.015, 0.018]",5.473%
IAS,"[0.142, 0.137, -0.415, 0.157, -0.194, 0.043, 0.109, 0.175, -0.084, 0.085, 0.025]",14.236%
LGMK,"[-0.125, 0.038, 0.012, -0.102, -0.125, -0.097, 0.393, 0.007, 0.16, 0.009, 0.029]",9.973%
LNW,"[0.018, -0.051, 0.009, 0.112, 0.033, 0.014, -0.003, 0.07, 0.049, -0.007, 0.076]",4.018%
LYV,"[0.017, 0.072, 0.02, 0.035, -0.078, 0.15, -0.101, -0.075, -0.008, -0.028, 0.097]",6.191%
MNTK,"[-0.2, 0.112, -0.157, -0.368, 0.11, -0.047, -0.143, -0.086, 0.08, -0.029, 0.061, -0.012]",11.708%
MRCC,"[0.011, 0.016, 0.003, -0.009, 0.005, -0.043, 0.021, -0.009, 0.031, -0.007, 0.008, -0.024]",1.558%
MVST,"[0, -0.023, -0.344, 0.121, -0.024, 0.427, -0.039, 0.008, 0.061, 0.19, -0.078, 0.005]",11.0%
SU,"[0.046, 0.003, -0.002, 0.036, -0.016, -0.011, -0.001, 0.035, -0.015, -0.014, -0.039]",1.982%
